school_name,year,total_vac,p1_vac,p1_appl,p1_taken,p2a_vac,p2a_appl,p2a_taken,p2b_vac,p2b_appl,p2b_taken,p2c_vac,p2c_appl,p2c_taken,p2cs_vac,p2cs_appl,p2cs_taken,p3_vac,p3_appl,p3_taken
Admiralty Primary School,2023-01-01,210,150,75,75,75,32,32,34,37,34,70,109,70,0,0,0,0,0,0
Ahmad Ibrahim Primary School,2023-01-01,220,160,54,54,106,10,10,52,0,0,157,27,27,130,15,15,115,0,0
Ai Tong School,2023-01-01,300,240,114,114,126,120,120,22,56,22,45,78,45,0,0,0,0,0,0
Alexandra Primary School,2023-01-01,200,140,57,57,83,13,13,43,4,4,127,141,127,0,0,0,0,0,0
Anchor Green Primary School,2023-01-01,240,180,85,85,95,30,30,42,0,0,128,36,36,93,66,66,27,0,0
Anderson Primary School,2023-01-01,210,150,71,71,79,46,46,31,19,19,74,92,74,0,0,0,0,0,0
Ang Mo Kio Primary School,2023-01-01,150,90,32,32,58,33,33,28,0,0,85,29,29,56,15,15,41,0,0
Anglo-Chinese School (Junior),2023-01-01,270,210,76,76,134,101,101,31,52,31,62,79,62,0,0,0,0,0,0
Anglo-Chinese School (Primary),2023-01-01,240,180,56,56,124,106,106,26,51,26,53,68,53,0,0,0,0,0,0
Angsana Primary School,2023-01-01,280,220,88,88,132,95,95,32,2,2,95,167,95,0,0,0,0,0,0
Beacon Primary School,2023-01-01,150,90,60,60,30,6,6,28,0,0,84,31,31,53,9,9,44,0,0
Bedok Green Primary School,2023-01-01,210,150,57,57,94,11,11,48,0,0,143,27,27,116,36,36,80,0,0
Bendemeer Primary School,2023-01-01,190,130,36,36,94,12,12,47,1,1,143,30,30,113,50,50,63,0,0
Blangah Rise Primary School,2023-01-01,120,60,23,23,37,20,20,26,0,0,77,18,18,60,12,12,48,0,0
Boon Lay Garden Primary School,2023-01-01,180,120,46,46,74,15,15,40,0,0,121,27,27,94,25,25,69,0,0
Bukit Panjang Primary School,2023-01-01,240,180,100,100,80,78,78,21,24,21,42,89,42,0,0,0,0,0,0
Bukit Timah Primary School,2023-01-01,180,120,64,64,56,7,7,36,1,1,111,71,71,40,66,40,0,0,0
Bukit View Primary School,2023-01-01,320,260,62,62,198,17,17,80,0,0,242,27,27,215,127,127,88,0,0
CHIJ (Katong) Primary,2023-01-01,200,140,44,44,96,30,30,42,21,21,105,63,63,42,55,42,0,0,0
CHIJ (Kellock),2023-01-01,200,140,47,47,93,12,12,47,14,14,128,49,49,79,22,22,57,0,0
CHIJ Primary (Toa Payoh),2023-01-01,210,150,51,51,100,78,78,27,53,27,55,69,55,0,0,0,0,0,0
CHIJ Our Lady Queen Of Peace,2023-01-01,180,120,48,48,72,15,15,40,14,14,105,59,59,46,37,37,9,0,0
CHIJ Our Lady Of Good Counsel,2023-01-01,150,90,29,29,61,11,11,37,11,11,101,40,40,61,43,43,18,0,0
CHIJ Our Lady Of The Nativity,2023-01-01,240,180,60,60,120,24,24,52,45,45,111,113,111,0,0,0,0,0,0
CHIJ St. Nicholas Girls' School,2023-01-01,210,150,70,70,80,103,80,20,46,20,40,84,40,0,0,0,0,0,0
Canberra Primary School,2023-01-01,240,180,80,80,100,16,16,48,22,22,122,131,122,0,0,0,0,0,0
Canossa Catholic Primary School,2023-01-01,120,60,48,48,12,3,3,23,19,19,50,56,50,0,0,0,0,0,0
Cantonment Primary School,2023-01-01,150,90,45,45,45,4,4,34,2,2,100,40,40,60,19,19,41,0,0
Casuarina Primary School,2023-01-01,160,100,76,76,24,18,18,22,0,0,66,44,44,23,28,23,0,0,0
Catholic High School (Primary),2023-01-01,240,180,64,64,116,135,116,20,29,20,40,52,40,0,0,0,0,0,0
Cedar Primary School,2023-01-01,240,180,52,52,128,36,36,51,1,1,151,38,38,113,38,38,75,0,0
Changkat Primary School,2023-01-01,180,120,45,45,75,15,15,40,1,1,119,56,56,63,13,13,50,0,0
Chongfu School,2023-01-01,300,240,122,122,118,73,73,35,53,35,72,112,72,0,0,0,0,0,0
Chongzheng Primary School,2023-01-01,180,120,61,61,60,41,41,26,7,7,72,84,72,0,0,0,0,0,0
Chua Chu Kang Primary School,2023-01-01,240,180,121,121,59,44,44,25,14,14,62,111,62,0,0,0,0,0,0
Clementi Primary School,2023-01-01,280,220,55,55,165,13,13,71,0,0,214,51,51,163,103,103,60,0,0
Compassvale Primary School,2023-01-01,240,180,107,107,73,14,14,40,18,18,101,133,101,0,0,0,0,0,0
Concord Primary School,2023-01-01,240,180,99,99,81,32,32,36,1,1,108,76,76,32,54,32,0,0,0
Corporation Primary School,2023-01-01,180,120,45,45,75,17,17,39,2,2,118,31,31,88,18,18,70,0,0
Damai Primary School,2023-01-01,150,90,49,49,41,13,13,29,1,1,87,22,22,65,18,18,47,0,0
Dazhong Primary School,2023-01-01,200,140,56,56,84,61,61,28,0,0,85,83,83,2,41,2,0,0,0
De La Salle School,2023-01-01,240,180,91,91,89,16,16,44,5,5,128,96,96,32,33,32,0,0,0
East Spring Primary School,2023-01-01,190,130,49,49,81,11,11,43,0,0,130,64,64,66,38,38,28,0,0
Edgefield Primary School,2023-01-01,240,180,71,71,109,7,7,54,0,0,162,46,46,116,24,24,92,0,0
Elias Park Primary School,2023-01-01,160,100,77,77,23,22,22,20,0,0,61,101,61,0,0,0,0,0,0
Endeavour Primary School,2023-01-01,240,180,58,58,122,6,6,59,1,1,175,53,53,122,25,25,97,0,0
Evergreen Primary School,2023-01-01,180,120,68,68,52,18,18,31,0,0,94,66,66,28,22,22,6,0,0
Fairfield Methodist School (Primary),2023-01-01,270,210,116,116,94,103,94,20,52,20,40,66,40,0,0,0,0,0,0
Farrer Park Primary School,2023-01-01,220,160,35,35,125,20,20,55,1,1,164,37,37,127,29,29,98,0,0
Fengshan Primary School,2023-01-01,180,120,53,53,67,33,33,31,2,2,96,75,75,21,39,21,0,0,0
Fern Green Primary School,2023-01-01,240,180,130,130,50,50,50,20,1,1,61,73,61,0,0,0,0,0,0
Fernvale Primary School,2023-01-01,240,180,77,77,103,35,35,43,0,0,129,80,80,49,56,49,0,0,0
First Toa Payoh Primary School,2023-01-01,150,90,19,19,71,13,13,39,0,0,119,9,9,110,14,14,96,0,0
Frontier Primary School,2023-01-01,210,150,69,69,81,88,81,20,13,13,48,63,48,0,0,0,0,0,0
Fuchun Primary School,2023-01-01,180,120,58,58,62,27,27,32,1,1,95,45,45,50,4,4,46,0,0
Fuhua Primary School,2023-01-01,220,160,61,61,99,30,30,43,2,2,128,54,54,74,31,31,43,0,0
Gan Eng Seng Primary School,2023-01-01,150,90,31,31,59,4,4,38,0,0,115,27,27,88,21,21,67,0,0
Geylang Methodist School (Primary),2023-01-01,270,210,102,102,108,32,32,45,4,4,132,134,132,0,0,0,0,0,0
Gongshang Primary School,2023-01-01,220,160,114,114,46,163,46,20,16,16,44,107,44,0,0,0,0,0,0
Greendale Primary School,2023-01-01,280,220,68,68,152,22,22,63,0,0,190,23,23,167,17,17,150,0,0
Greenridge Primary School,2023-01-01,180,120,67,67,53,9,9,35,1,1,103,19,19,84,7,7,77,0,0
Greenwood Primary School,2023-01-01,240,180,99,99,82,16,16,42,3,3,123,89,89,34,33,33,1,0,0
Haig Girls' School,2023-01-01,190,130,51,51,79,24,24,38,18,18,97,108,97,0,0,0,0,0,0
Henry Park Primary School,2023-01-01,300,240,131,131,109,109,109,20,23,20,44,64,44,0,0,0,0,0,0
Holy Innocents' Primary School,2023-01-01,270,210,107,107,103,115,103,20,53,20,40,115,40,0,0,0,0,0,0
Hong Wen School,2023-01-01,210,150,82,82,69,34,34,32,30,30,69,151,69,0,0,0,0,0,0
Horizon Primary School,2023-01-01,240,180,103,103,77,105,77,20,16,16,44,81,44,0,0,0,0,0,0
Hougang Primary School,2023-01-01,190,130,76,76,54,22,22,31,17,17,76,98,76,0,0,0,0,0,0
Huamin Primary School,2023-01-01,240,180,101,101,79,90,79,20,1,1,61,95,61,0,0,0,0,0,0
Innova Primary School,2023-01-01,180,120,64,64,56,9,9,36,11,11,96,58,58,38,4,4,34,0,0
Jiemin Primary School,2023-01-01,220,160,68,68,92,19,19,44,0,0,134,57,57,77,54,54,23,0,0
Jing Shan Primary School,2023-01-01,150,90,51,51,39,51,39,20,1,1,61,62,61,0,0,0,0,0,0
Junyuan Primary School,2023-01-01,240,180,83,83,97,76,76,27,0,0,81,58,58,23,74,23,0,0,0
Jurong Primary School,2023-01-01,220,160,59,59,101,37,37,41,0,0,125,73,73,52,72,52,0,0,0
Jurong West Primary School,2023-01-01,180,120,57,57,63,65,63,20,1,1,60,63,60,0,0,0,0,0,0
Keming Primary School,2023-01-01,240,180,100,100,80,51,51,30,8,8,82,138,82,0,0,0,0,0,0
Kheng Cheng School,2023-01-01,240,180,71,71,109,47,47,41,1,1,121,110,110,11,28,11,0,0,0
Kong Hwa School,2023-01-01,270,210,110,110,100,74,74,29,57,29,57,84,57,0,0,0,0,0,0
Kranji Primary School,2023-01-01,120,60,35,35,25,25,25,20,0,0,60,21,21,39,16,16,23,0,0
Kuo Chuan Presbyterian Primary School,2023-01-01,240,180,88,88,92,57,57,32,36,32,67,76,67,0,0,0,0,0,0
Lakeside Primary School,2023-01-01,240,180,82,82,98,42,42,39,0,0,119,112,112,7,19,7,0,0,0
Lianhua Primary School,2023-01-01,320,260,53,53,207,17,17,84,0,0,252,36,36,216,51,51,165,0,0
Maha Bodhi School,2023-01-01,330,270,141,141,129,99,99,30,42,30,63,82,63,0,0,0,0,0,0
Maris Stella High School,2023-01-01,270,210,70,70,140,122,122,26,30,26,55,77,55,0,0,0,0,0,0
Marsiling Primary School,2023-01-01,210,150,52,52,98,15,15,48,0,0,143,74,74,69,4,4,65,0,0
Marymount Convent School,2023-01-01,240,180,38,38,143,9,9,65,7,7,188,56,56,132,62,62,70,0,0
Mayflower Primary School,2023-01-01,180,120,37,37,83,23,23,40,0,0,121,30,30,91,46,46,45,0,0
Mee Toh School,2023-01-01,300,240,108,108,132,28,28,55,49,49,116,145,116,0,0,0,0,0,0
Meridian Primary School,2023-01-01,210,150,29,29,121,26,26,52,0,0,157,22,22,135,14,14,121,0,0
Methodist Girls' School (Primary),2023-01-01,210,150,64,64,86,83,83,21,38,21,43,63,43,0,0,0,0,0,0
Montfort Junior School,2023-01-01,150,90,22,22,68,7,7,40,8,8,113,25,25,88,38,38,50,0,0
Nan Chiau Primary School,2023-01-01,300,240,131,131,109,38,38,45,123,45,89,264,89,0,0,0,0,0,0
Nan Hua Primary School,2023-01-01,240,180,116,116,65,96,65,20,34,20,40,192,40,0,0,0,0,0,0
Nanyang Primary School,2023-01-01,390,330,182,182,149,171,149,20,43,20,44,76,44,0,0,0,0,0,0
Naval Base Primary School,2023-01-01,240,180,114,114,66,100,66,20,2,2,58,89,58,0,0,0,0,0,0
New Town Primary School,2023-01-01,210,150,37,37,113,9,9,55,0,0,164,19,19,145,41,41,104,0,0
Ngee Ann Primary School,2023-01-01,240,180,86,86,94,34,34,40,2,2,122,122,122,0,0,0,0,0,0
North Spring Primary School,2023-01-01,240,180,52,52,128,15,15,58,0,0,173,38,38,135,49,49,86,0,0
North View Primary School,2023-01-01,240,180,93,93,87,68,68,26,0,0,80,95,80,0,0,0,0,0,0
North Vista Primary School,2023-01-01,240,180,57,57,123,35,35,49,1,1,148,55,55,94,50,50,44,0,0
Northland Primary School,2023-01-01,240,180,104,104,76,72,72,21,22,21,44,200,44,0,0,0,0,0,0
Northoaks Primary School,2023-01-01,180,120,35,35,85,9,9,45,0,0,137,20,20,117,3,3,114,0,0
Northshore Primary School,2023-01-01,280,220,52,52,168,69,69,53,1,1,159,110,110,49,12,12,37,0,0
Oasis Primary School,2023-01-01,240,180,110,110,70,68,68,21,2,2,61,63,61,0,0,0,0,0,0
Opera Estate Primary School,2023-01-01,180,120,60,60,60,18,18,34,1,1,101,74,74,34,33,33,1,0,0
Palm View Primary School,2023-01-01,240,180,102,102,78,8,8,43,0,0,130,76,76,54,67,54,0,0,0
Park View Primary School,2023-01-01,180,120,64,64,56,13,13,34,2,2,101,66,66,35,37,35,0,0,0
Pasir Ris Primary School,2023-01-01,180,120,81,81,39,32,32,23,23,23,47,76,47,0,0,0,0,0,0
Paya Lebar Methodist Girls' School (Primary),2023-01-01,270,210,64,64,146,70,70,46,35,35,103,120,103,0,0,0,0,0,0
Pei Chun Public School,2023-01-01,300,240,113,113,127,116,116,24,29,24,52,81,52,0,0,0,0,0,0
Pei Hwa Presbyterian Primary School,2023-01-01,224,164,102,102,62,93,62,20,32,20,40,75,40,0,0,0,0,0,0
Pei Tong Primary School,2023-01-01,280,220,60,60,160,25,25,65,0,0,196,29,29,167,84,84,83,0,0
Peiying Primary School,2023-01-01,220,160,70,70,90,29,29,40,0,0,121,49,49,73,105,73,0,0,0
Poi Ching School,2023-01-01,240,180,95,95,85,23,23,41,45,41,82,197,82,0,0,0,0,0,0
Princess Elizabeth Primary School,2023-01-01,200,140,87,87,53,89,53,20,12,12,48,283,48,0,0,0,0,0,0
Punggol Primary School,2023-01-01,190,130,89,89,41,17,17,28,0,0,86,106,86,0,0,0,0,0,0
Punggol Cove Primary School,2023-01-01,280,220,102,102,118,65,65,38,1,1,113,82,82,31,34,31,0,0,0
Punggol Green Primary School,2023-01-01,240,180,107,107,73,98,73,21,4,4,58,110,58,0,0,0,0,0,0
Punggol View Primary School,2023-01-01,240,180,98,98,82,51,51,30,1,1,92,51,51,41,51,41,0,0,0
Qifa Primary School,2023-01-01,280,220,95,95,125,48,48,46,17,17,124,130,124,0,0,0,0,0,0
Qihua Primary School,2023-01-01,180,120,60,60,60,25,25,32,0,0,95,42,42,53,6,6,47,0,0
Queenstown Primary School,2023-01-01,210,150,76,76,75,28,28,36,1,1,106,123,106,0,0,0,0,0,0
Radin Mas Primary School,2023-01-01,200,140,70,70,71,56,56,25,22,22,54,81,54,0,0,0,0,0,0
Raffles Girls' Primary School,2023-01-01,270,210,61,61,151,66,66,48,33,33,113,130,113,0,0,0,0,0,0
Red Swastika School,2023-01-01,240,180,94,94,86,112,86,20,22,20,42,89,42,0,0,0,0,0,0
River Valley Primary School,2023-01-01,210,150,84,84,67,52,52,25,16,16,60,73,60,0,0,0,0,0,0
Riverside Primary School,2023-01-01,210,150,87,87,63,70,63,20,1,1,59,90,59,0,0,0,0,0,0
Rivervale Primary School,2023-01-01,200,140,96,96,44,20,20,28,14,14,70,133,70,0,0,0,0,0,0
Rosyth School,2023-01-01,270,210,135,135,75,120,75,20,23,20,41,142,41,0,0,0,0,0,0
Rulang Primary School,2023-01-01,270,210,122,122,88,102,88,20,26,20,41,112,41,0,0,0,0,0,0
Sembawang Primary School,2023-01-01,200,140,82,82,58,44,44,25,1,1,75,67,67,8,27,8,0,0,0
Seng Kang Primary School,2023-01-01,210,150,39,39,111,9,9,54,0,0,163,22,22,141,37,37,104,0,0
Sengkang Green Primary School,2023-01-01,280,220,128,128,92,121,92,20,15,15,45,87,45,0,0,0,0,0,0
Shuqun Primary School,2023-01-01,200,140,78,78,62,49,49,25,15,15,60,97,60,0,0,0,0,0,0
Si Ling Primary School,2023-01-01,150,90,40,40,50,10,10,33,0,0,100,22,22,78,1,1,77,0,0
Singapore Chinese Girls’ School (Primary),2023-01-01,192,132,54,54,78,75,75,21,20,20,43,58,43,0,0,0,0,0,0
South View Primary School,2023-01-01,270,210,121,121,89,105,89,20,34,20,40,128,40,0,0,0,0,0,0
Springdale Primary School,2023-01-01,280,220,102,102,118,57,57,40,0,0,121,68,68,53,68,53,0,0,0
St. Andrew's Junior School,2023-01-01,240,180,55,55,125,49,49,45,36,36,103,113,103,0,0,0,0,0,0
St. Anthony's Primary School,2023-01-01,240,180,70,70,110,44,44,42,24,24,102,114,102,0,0,0,0,0,0
St. Anthony's Canossian Primary School,2023-01-01,210,150,26,26,124,11,11,58,8,8,165,36,36,129,33,33,96,0,0
St. Gabriel's Primary School,2023-01-01,150,90,26,26,64,13,13,37,34,34,77,52,52,27,43,27,0,0,0
St. Hilda's Primary School,2023-01-01,270,210,107,107,103,113,103,20,36,20,40,136,40,0,0,0,0,0,0
St. Joseph's Institution Junior,2023-01-01,240,180,53,53,127,56,56,44,85,44,88,98,88,0,0,0,0,0,0
St. Margaret's Primary School,2023-01-01,192,132,26,26,106,28,28,46,17,17,122,78,78,44,46,44,0,0,0
St. Stephen's School,2023-01-01,240,180,30,30,150,23,23,62,28,28,160,58,58,102,66,66,36,0,0
Tampines Primary School,2023-01-01,240,180,77,77,103,62,62,34,0,0,102,92,92,10,53,10,0,0,0
Tampines North Primary School,2023-01-01,240,180,84,84,96,18,18,46,0,0,138,47,47,91,127,91,0,0,0
Tanjong Katong Primary School,2023-01-01,200,140,71,71,69,33,33,32,13,13,87,108,87,0,0,0,0,0,0
Tao Nan School,2023-01-01,360,300,183,183,117,138,117,20,68,20,41,95,41,0,0,0,0,0,0
Teck Ghee Primary School,2023-01-01,180,120,76,76,44,16,16,29,5,5,84,64,64,20,22,20,0,0,0
Teck Whye Primary School,2023-01-01,210,150,44,44,106,21,21,48,2,2,143,19,19,124,26,26,98,0,0
Telok Kurau Primary School,2023-01-01,240,180,71,71,109,33,33,46,0,0,138,56,56,82,32,32,50,0,0
Temasek Primary School,2023-01-01,200,140,84,84,56,59,56,20,12,12,48,116,48,0,0,0,0,0,0
Townsville Primary School,2023-01-01,150,90,30,30,61,17,17,35,1,1,104,27,27,77,13,13,64,0,0
Unity Primary School,2023-01-01,150,90,52,52,38,10,10,29,0,0,88,44,44,44,3,3,41,0,0
Valour Primary School,2023-01-01,280,220,113,113,107,82,82,28,1,1,84,102,84,0,0,0,0,0,0
Waterway Primary School,2023-01-01,280,220,100,100,120,61,61,40,1,1,120,77,77,43,30,30,13,0,0
Wellington Primary School,2023-01-01,240,180,108,108,72,85,72,20,6,6,55,108,55,0,0,0,0,0,0
West Grove Primary School,2023-01-01,210,150,77,77,73,7,7,42,1,1,126,45,45,81,46,46,35,0,0
West Spring Primary School,2023-01-01,240,180,94,94,87,69,69,26,2,2,79,85,79,0,0,0,0,0,0
West View Primary School,2023-01-01,150,90,45,45,45,23,23,27,1,1,82,41,41,41,25,25,16,0,0
Westwood Primary School,2023-01-01,240,180,90,90,90,82,82,23,10,10,59,82,59,0,0,0,0,0,0
White Sands Primary School,2023-01-01,180,120,78,78,42,23,23,26,3,3,78,86,78,0,0,0,0,0,0
Woodgrove Primary School,2023-01-01,180,120,59,59,61,10,10,37,8,8,103,99,99,4,8,4,0,0,0
Woodlands Primary School,2023-01-01,210,150,69,69,81,33,33,36,8,8,102,87,87,16,10,10,6,0,0
Woodlands Ring Primary School,2023-01-01,210,150,85,85,65,20,20,35,0,0,105,53,53,53,6,6,47,0,0
Xinghua Primary School,2023-01-01,240,180,28,28,152,10,10,67,0,0,203,34,34,169,42,42,127,0,0
Xingnan Primary School,2023-01-01,210,150,49,49,101,18,18,48,0,0,143,43,43,100,11,11,89,0,0
Xinmin Primary School,2023-01-01,210,150,69,69,81,54,54,29,26,26,62,100,62,0,0,0,0,0,0
Xishan Primary School,2023-01-01,220,160,73,73,87,29,29,39,2,2,116,43,43,73,79,73,0,0,0
Yangzheng Primary School,2023-01-01,160,100,66,66,34,38,34,20,14,14,48,77,48,0,0,0,0,0,0
Yew Tee Primary School,2023-01-01,180,120,53,53,67,6,6,40,3,3,118,45,45,74,11,11,63,0,0
Yio Chu Kang Primary School,2023-01-01,180,120,46,46,74,11,11,41,0,0,123,24,24,99,67,67,32,0,0
Yishun Primary School,2023-01-01,220,160,54,54,106,24,24,47,1,1,141,54,54,87,47,47,40,0,0
Yu Neng Primary School,2023-01-01,180,120,69,69,51,44,44,22,12,12,56,82,56,0,0,0,0,0,0
Yuhua Primary School,2023-01-01,240,180,57,57,123,23,23,53,1,1,160,23,23,137,31,31,106,0,0
Yumin Primary School,2023-01-01,220,160,47,47,113,12,12,54,0,0,161,14,14,148,41,41,107,0,0
Zhangde Primary School,2023-01-01,180,120,63,63,57,22,22,32,0,0,95,88,88,8,19,8,0,0,0
Zhenghua Primary School,2023-01-01,210,150,78,78,72,55,55,26,2,2,76,44,44,32,44,32,0,0,0
Zhonghua Primary School,2023-01-01,120,60,21,21,39,4,4,32,0,0,95,11,11,84,20,20,64,0,0
Admiralty Primary School,2022-01-01,210,150,107,107,44,37,37,22,49,22,45,104,45,0,0,0,0,0,0
Ahmad Ibrahim Primary School,2022-01-01,190,130,56,56,74,5,5,43,0,0,129,31,31,98,20,20,78,0,0
Ai Tong School,2022-01-01,300,240,130,130,110,146,110,20,48,20,42,86,42,0,0,0,0,0,0
Alexandra Primary School,2022-01-01,200,140,75,75,65,9,9,39,4,4,113,146,113,0,0,0,0,0,0
Anchor Green Primary School,2022-01-01,240,180,75,75,105,46,46,40,0,0,120,24,24,96,108,96,0,0,0
Anderson Primary School,2022-01-01,210,150,91,91,59,36,36,28,21,21,64,88,64,0,0,0,0,0,0
Ang Mo Kio Primary School,2022-01-01,210,150,48,48,102,13,13,50,0,0,149,49,49,100,13,13,87,0,0
Anglo-Chinese School (Junior),2022-01-01,270,210,78,78,132,112,112,27,57,27,53,69,53,0,0,0,0,0,0
Anglo-Chinese School (Primary),2022-01-01,240,180,62,62,118,95,95,28,55,28,55,69,55,0,0,0,0,0,0
Angsana Primary School,2022-01-01,280,220,58,58,162,20,20,67,0,0,202,171,171,31,66,31,0,0,0
Beacon Primary School,2022-01-01,210,150,68,68,82,7,7,45,0,0,135,33,33,102,27,27,75,0,0
Bedok Green Primary School,2022-01-01,240,180,71,71,109,17,17,51,0,0,152,32,32,120,74,74,46,0,0
Bendemeer Primary School,2022-01-01,190,130,52,52,78,5,5,44,0,0,133,59,59,74,47,47,27,0,0
Blangah Rise Primary School,2022-01-01,120,60,19,19,41,6,6,32,0,0,96,24,24,72,19,19,53,0,0
Boon Lay Garden Primary School,2022-01-01,300,240,65,65,175,11,11,75,0,0,225,38,38,187,34,34,153,0,0
Bukit Panjang Primary School,2022-01-01,240,180,100,100,80,55,55,29,21,21,65,80,65,0,0,0,0,0,0
Bukit Timah Primary School,2022-01-01,190,130,59,59,71,6,6,42,1,1,124,81,81,45,63,45,0,0,0
Bukit View Primary School,2022-01-01,300,240,58,58,182,12,12,77,0,0,230,31,31,199,133,133,66,0,0
CHIJ (Katong) Primary,2022-01-01,200,140,39,39,101,33,33,43,16,16,112,53,53,59,57,57,2,0,0
CHIJ (Kellock),2022-01-01,200,140,49,49,91,13,13,46,16,16,123,77,77,46,41,41,5,0,0
CHIJ Primary (Toa Payoh),2022-01-01,210,150,55,55,95,74,74,27,40,27,54,68,54,0,0,0,0,0,0
CHIJ Our Lady Queen Of Peace,2022-01-01,180,120,38,38,82,4,4,46,12,12,126,82,82,44,42,42,2,0,0
CHIJ Our Lady Of Good Counsel,2022-01-01,150,90,33,33,57,20,20,32,20,20,80,61,61,19,29,19,0,0,0
CHIJ Our Lady Of The Nativity,2022-01-01,240,180,58,58,122,22,22,54,53,53,110,118,110,0,0,0,0,0,0
CHIJ St. Nicholas Girls' School,2022-01-01,210,150,60,60,90,112,90,20,46,20,40,63,40,0,0,0,0,0,0
Canberra Primary School,2022-01-01,240,180,86,86,94,25,25,43,19,19,112,146,112,0,0,0,0,0,0
Canossa Catholic Primary School,2022-01-01,120,60,34,34,26,6,6,27,16,16,64,60,60,4,23,4,0,0,0
Cantonment Primary School,2022-01-01,180,120,44,44,76,2,2,45,0,0,136,43,43,93,47,47,46,0,0
Casuarina Primary School,2022-01-01,160,100,60,60,40,16,16,28,0,0,84,55,55,29,37,29,0,0,0
Catholic High School (Primary),2022-01-01,240,180,70,70,110,149,110,20,43,20,40,68,40,0,0,0,0,0,0
Cedar Primary School,2022-01-01,240,180,33,33,147,20,20,62,0,0,187,42,42,145,74,74,71,0,0
Changkat Primary School,2022-01-01,210,150,53,53,97,12,12,48,0,0,146,49,49,97,18,18,79,0,0
Chongfu School,2022-01-01,300,240,139,139,101,87,87,25,51,25,49,157,49,0,0,0,0,0,0
Chongzheng Primary School,2022-01-01,180,120,89,89,32,39,32,20,7,7,54,87,54,0,0,0,0,0,0
Chua Chu Kang Primary School,2022-01-01,240,180,114,114,66,31,31,32,25,25,70,124,70,0,0,0,0,0,0
Clementi Primary School,2022-01-01,280,220,82,82,138,17,17,60,0,0,183,71,71,112,125,112,0,0,0
Compassvale Primary School,2022-01-01,240,180,98,98,82,12,12,44,17,17,115,140,115,0,0,0,0,0,0
Concord Primary School,2022-01-01,240,180,103,103,77,21,21,39,3,3,114,105,105,10,33,10,0,0,0
Corporation Primary School,2022-01-01,240,180,82,82,98,6,6,51,1,1,151,54,54,97,31,31,66,0,0
Damai Primary School,2022-01-01,240,180,57,57,124,8,8,59,0,0,176,36,36,140,30,30,110,0,0
Dazhong Primary School,2022-01-01,200,140,89,89,51,40,40,24,0,0,73,66,66,7,65,7,0,0,0
De La Salle School,2022-01-01,240,180,79,79,101,17,17,48,12,12,133,104,104,29,48,29,0,0,0
East Spring Primary School,2022-01-01,190,130,66,66,64,11,11,38,0,0,113,58,58,55,26,26,29,0,0
Edgefield Primary School,2022-01-01,240,180,87,87,93,15,15,46,0,0,139,85,85,54,65,54,0,0,0
Elias Park Primary School,2022-01-01,180,120,80,80,40,10,10,30,2,2,89,132,89,0,0,0,0,0,0
Endeavour Primary School,2022-01-01,240,180,77,77,103,7,7,52,3,3,153,58,58,95,72,72,23,0,0
Evergreen Primary School,2022-01-01,210,150,68,68,82,17,17,42,0,0,125,59,59,66,47,47,19,0,0
Fairfield Methodist School (Primary),2022-01-01,270,210,123,123,88,98,88,20,33,20,41,89,41,0,0,0,0,0,0
Farrer Park Primary School,2022-01-01,190,130,45,45,86,20,20,42,1,1,125,49,49,76,59,59,17,0,0
Fengshan Primary School,2022-01-01,180,120,84,84,36,22,22,25,1,1,73,95,73,0,0,0,0,0,0
Fern Green Primary School,2022-01-01,240,180,120,120,61,48,48,25,2,2,73,90,73,0,0,0,0,0,0
Fernvale Primary School,2022-01-01,240,180,92,92,88,35,35,38,1,1,113,78,78,35,77,35,0,0,0
First Toa Payoh Primary School,2022-01-01,150,90,18,18,72,6,6,42,0,0,127,4,4,123,10,10,113,0,0
Frontier Primary School,2022-01-01,210,150,80,80,70,92,70,20,14,14,46,85,46,0,0,0,0,0,0
Fuchun Primary School,2022-01-01,210,150,51,51,99,12,12,49,1,1,147,52,52,95,16,16,79,0,0
Fuhua Primary School,2022-01-01,180,120,83,83,37,15,15,27,0,0,83,62,62,21,32,21,0,0,0
Gan Eng Seng Primary School,2022-01-01,150,90,36,36,54,2,2,37,0,0,112,28,28,84,21,21,63,0,0
Geylang Methodist School (Primary),2022-01-01,270,210,103,103,107,34,34,44,4,4,129,131,129,0,0,0,0,0,0
Gongshang Primary School,2022-01-01,210,150,91,91,59,116,59,20,15,15,45,107,45,0,0,0,0,0,0
Greendale Primary School,2022-01-01,240,180,85,85,95,22,22,44,0,0,133,31,31,102,71,71,31,0,0
Greenridge Primary School,2022-01-01,210,150,81,81,69,12,12,39,0,0,117,35,35,82,26,26,56,0,0
Greenwood Primary School,2022-01-01,240,180,95,95,85,6,6,46,1,1,138,107,107,31,33,31,0,0,0
Haig Girls' School,2022-01-01,190,130,37,37,93,25,25,43,1,1,127,117,117,10,28,10,0,0,0
Henry Park Primary School,2022-01-01,300,240,131,131,109,139,109,21,29,21,41,82,41,0,0,0,0,0,0
Holy Innocents' Primary School,2022-01-01,270,210,122,122,88,103,88,21,50,21,42,101,42,0,0,0,0,0,0
Hong Wen School,2022-01-01,210,150,74,74,77,29,29,36,27,27,83,135,83,0,0,0,0,0,0
Horizon Primary School,2022-01-01,240,180,101,101,79,92,79,20,19,19,42,77,42,0,0,0,0,0,0
