school_name,address,postal_code,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,latitude,longitude
Horizon Primary School,61   Edgedale Plains,828819,Punggol,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3998,103.9132
Hougang Primary School,1    Hougang St 93,534238,Hougang,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3774,103.8808
Huamin Primary School,21   Yishun Avenue 11,768857,Yishun,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.427,103.8442
Innova Primary School,80   Woodlands Drive 17,737888,Woodlands,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.4291,103.7906
Jiemin Primary School,2    Yishun Street 71,768515,Yishun,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.4276,103.8304
Jing Shan Primary School,5    Ang Mo Kio St 52,569228,Ang Mo Kio,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3721,103.852
Junyuan Primary School,2    Tampines Street 91,528906,Tampines,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3479,103.9392
Jurong Primary School,320  Jurong East Street 32,609476,Jurong East,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3486,103.7331
Jurong West Primary School,30   Jurong West St 61,648368,Jurong West,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3394,103.6988
Juying Primary School,31   Jurong West Street 91,649037,Jurong West,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3389,103.6878
Keming Primary School,90   Bukit Batok East Avenue 6,659762,Bukit Batok,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3453,103.7562
Kheng Cheng School,15   Lorong 3 Toa Payoh,319580,Toa Payoh,South,Government-Aided Sch,Co-Ed School,Single Session,Primary,No,No,No,No,1.3373,103.8471
Kong Hwa School,350  Guillemard Road,399772,Geylang,East,Government-Aided Sch,Co-Ed School,Single Session,Primary,Yes,No,No,No,1.3111,103.8883
Kranji Primary School,11   Choa Chu Kang Street 54,689189,Choa Chu Kang,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3939,103.7474
Kuo Chuan Presbyterian Primary School,8    Bishan Street 13,579793,Bishan,South,Government-Aided Sch,Co-Ed School,Single Session,Primary,No,No,No,No,1.3492,103.8546
Lakeside Primary School,161  Corporation Walk,618310,Jurong West,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3383,103.7181
Lianhua Primary School,2    Bukit Batok Street 52,659243,Bukit Batok,West,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3542,103.7542
Maha Bodhi School,10   Ubi Avenue 1,408931,Geylang,East,Government-Aided Sch,Co-Ed School,Single Session,Primary,Yes,No,No,No,1.3285,103.9013
Maris Stella High School,25   Mount Vernon Road,368051,Toa Payoh,North,Government-Aided Sch,Boys' School,Single Session,Mixed Levels,Yes,Yes,No,No,1.3418,103.87795
Marsiling Primary School,31   Woodlands Centre Road,738927,Woodlands,North,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.4338,103.7736
Marymount Convent School,20   Marymount Road,297754,Toa Payoh,South,Government-Aided Sch,Girls' School,Single Session,Primary,No,No,No,No,1.3404,103.8399
Mayflower Primary School,6    Ang Mo Kio Avenue 2,569948,Ang Mo Kio,South,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3761,103.8358
Mee Toh School,21   Edgedale Plains,828867,Punggol,North,Government-Aided Sch,Co-Ed School,Single Session,Primary,No,No,No,No,1.3947,103.9086
Meridian Primary School,20   Pasir Ris St 71,518798,Pasir Ris,East,Government School,Co-Ed School,Single Session,Primary,No,No,No,No,1.3755,103.9349
